,movie,year,imdb,metascore,votes
1153,Upgrade,(2018),7.5,67,155866
1154,The Meg,(2018),5.6,46,147855
1155,Rampage,(2018),6.1,45,141663
1156,Crazy Rich Asians,(2018),6.9,74,138781
1157,Searching,(III) (2018),7.6,71,138154
1158,Roma,(2018),7.7,96,138088
1159,Isle of Dogs,(2018),7.9,82,136387
1160,Bumblebee,(I) (2018),6.8,66,135937
1161,The Equalizer 2,(2018),6.7,50,130538
1162,Ralph Breaks the Internet,(2018),7.1,71,128528
1163,Bad Times at the El Royale,(2018),7.1,60,126722
1164,A Simple Favour,(2018),6.8,67,125927
1165,Sicario: Day of the Soldado,(2018),7.1,61,123298
1166,Halloween,(I) (2018),6.5,67,119743
1167,The Ballad of Buster Scruggs,(2018),7.3,79,119591
1168,Vice,(I) (2018),7.2,61,118702
1169,The Nun,(2018),5.3,46,116802
1170,The Predator,(2018),5.3,48,115180
1171,Tag,(I) (2018),6.5,56,112083
1172,Avengers: Infinity War,(2018),8.4,68,818269
1173,Black Panther,(2018),7.3,88,617122
1174,Deadpool 2,(2018),7.7,66,471500
1175,Bohemian Rhapsody,(2018),8.0,49,443037
1176,A Quiet Place,(2018),7.5,82,402235
1177,Aquaman,(2018),6.9,55,362844
1178,Ready Player One,(2018),7.5,64,362814
1179,Spider-Man: Into the Spider-Verse,(2018),8.4,87,361491
1180,Green Book,(2018),8.2,69,360830
1181,Venom,(2018),6.7,35,354994
1182,A Star Is Born,(2018),7.6,88,328005
1183,Ant-Man and the Wasp,(2018),7.1,70,303436
1184,Mission: Impossible - Fallout,(2018),7.7,86,287413
1185,Solo: A Star Wars Story,(2018),6.9,62,285582
1186,Annihilation,(2018),6.8,79,277439
1187,Bird Box,(2018),6.6,51,274727
1188,Jurassic World: Fallen Kingdom,(2018),6.2,51,262778
1189,The Incredibles 2,(2018),7.6,80,245285
1190,Hereditary,(2018),7.3,87,235065
1191,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,52,218355
1192,BlacKkKlansman,(2018),7.5,83,217722
1193,Game Night,(I) (2018),6.9,66,204092
1194,Tomb Raider,(2018),6.3,48,188749
1195,Ocean's Eight,(2018),6.9,61,182763
1196,The Favourite,(2018),7.5,91,168929
1197,First Man,(2018),7.3,84,165462
1198,Red Sparrow,(2018),6.6,53,163431
1199,Upgrade,(2018),7.5,67,155866
1200,The Meg,(2018),5.6,46,147855
1201,Rampage,(2018),6.1,45,141663
1202,Crazy Rich Asians,(2018),6.9,74,138781
1203,Searching,(III) (2018),7.6,71,138154
1204,Roma,(2018),7.7,96,138088
1205,Isle of Dogs,(2018),7.9,82,136387
1206,Bumblebee,(I) (2018),6.8,66,135937
1207,The Equalizer 2,(2018),6.7,50,130538
1208,Ralph Breaks the Internet,(2018),7.1,71,128528
1209,Bad Times at the El Royale,(2018),7.1,60,126722
1210,A Simple Favour,(2018),6.8,67,125927
1211,Sicario: Day of the Soldado,(2018),7.1,61,123298
1212,Halloween,(I) (2018),6.5,67,119743
1213,The Ballad of Buster Scruggs,(2018),7.3,79,119591
1214,Vice,(I) (2018),7.2,61,118702
1215,The Nun,(2018),5.3,46,116802
1216,The Predator,(2018),5.3,48,115180
1217,Tag,(I) (2018),6.5,56,112083
1218,Avengers: Infinity War,(2018),8.4,68,818269
1219,Black Panther,(2018),7.3,88,617122
1220,Deadpool 2,(2018),7.7,66,471500
1221,Bohemian Rhapsody,(2018),8.0,49,443037
1222,A Quiet Place,(2018),7.5,82,402235
1223,Aquaman,(2018),6.9,55,362844
1224,Ready Player One,(2018),7.5,64,362814
1225,Spider-Man: Into the Spider-Verse,(2018),8.4,87,361491
1226,Green Book,(2018),8.2,69,360830
1227,Venom,(2018),6.7,35,354994
1228,A Star Is Born,(2018),7.6,88,328005
1229,Ant-Man and the Wasp,(2018),7.1,70,303436
1230,Mission: Impossible - Fallout,(2018),7.7,86,287413
1231,Solo: A Star Wars Story,(2018),6.9,62,285582
1232,Annihilation,(2018),6.8,79,277439
1233,Bird Box,(2018),6.6,51,274727
1234,Jurassic World: Fallen Kingdom,(2018),6.2,51,262778
1235,The Incredibles 2,(2018),7.6,80,245285
1236,Hereditary,(2018),7.3,87,235065
1237,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,52,218355
1238,BlacKkKlansman,(2018),7.5,83,217722
1239,Game Night,(I) (2018),6.9,66,204092
1240,Tomb Raider,(2018),6.3,48,188749
1241,Ocean's Eight,(2018),6.9,61,182763
1242,The Favourite,(2018),7.5,91,168929
1243,First Man,(2018),7.3,84,165462
1244,Red Sparrow,(2018),6.6,53,163431
1245,Upgrade,(2018),7.5,67,155866
1246,The Meg,(2018),5.6,46,147855
1247,Rampage,(2018),6.1,45,141663
1248,Crazy Rich Asians,(2018),6.9,74,138781
1249,Searching,(III) (2018),7.6,71,138154
1250,Roma,(2018),7.7,96,138088
1251,Isle of Dogs,(2018),7.9,82,136387
1252,Bumblebee,(I) (2018),6.8,66,135937
1253,The Equalizer 2,(2018),6.7,50,130538
1254,Ralph Breaks the Internet,(2018),7.1,71,128528
1255,Bad Times at the El Royale,(2018),7.1,60,126722
1256,A Simple Favour,(2018),6.8,67,125927
1257,Sicario: Day of the Soldado,(2018),7.1,61,123298
1258,Halloween,(I) (2018),6.5,67,119743
1259,The Ballad of Buster Scruggs,(2018),7.3,79,119591
1260,Vice,(I) (2018),7.2,61,118702
1261,The Nun,(2018),5.3,46,116802
1262,The Predator,(2018),5.3,48,115180
1263,Tag,(I) (2018),6.5,56,112083
1264,Joker,(2019),8.5,59,907751
1265,Avengers: Endgame,(2019),8.4,78,786661
1266,Once Upon a Time... In Hollywood,(2019),7.6,83,534669
1267,Parasite,(2019),8.6,96,519064
1268,Captain Marvel,(2019),6.9,64,432426
1269,Knives Out,(2019),7.9,82,425977
1270,1917,(2019),8.3,78,399659
1271,Star Wars: The Rise of Skywalker,(2019),6.6,53,361755
1272,The Irishman,(2019),7.9,94,316417
1273,Spider-Man: Far from Home,(2019),7.5,69,315803
1274,Jojo Rabbit,(2019),7.9,58,282441
1275,Le Mans '66,(2019),8.1,81,278048
1276,John Wick: Chapter 3 - Parabellum,(2019),7.4,73,268648
1277,Shazam!,(2019),7.1,71,248671
1278,Marriage Story,(2019),8.0,94,239055
1279,Alita: Battle Angel,(2019),7.3,53,224245
1280,Aladdin,(2019),7.0,53,222912
1281,Us,(II) (2019),6.9,81,220973
1282,The Gentlemen,(2019),7.8,51,213484
1283,Uncut Gems,(2019),7.4,91,212063
1284,The Lion King,(2019),6.9,55,206436
1285,Glass,(2019),6.7,43,204351
1286,It: Chapter Two,(2019),6.5,58,203246
1287,Toy Story 4,(2019),7.8,84,197038
1288,Ad Astra,(2019),6.5,80,193867
1289,Midsommar,(2019),7.1,72,192953
1290,Jumanji: The Next Level,(2019),6.7,58,181411
1291,El Camino: A Breaking Bad Movie,(2019),7.3,72,179222
1292,Fast & Furious: Hobbs & Shaw,(2019),6.4,60,163614
1293,The Platform,(2019),7.0,73,157151
1294,X-Men: Dark Phoenix,(2019),5.8,43,151992
1295,Terminator: Dark Fate,(2019),6.2,54,145526
1296,Doctor Sleep,(2019),7.3,59,137223
1297,6 Underground,(2019),6.1,41,135454
1298,Zombieland: Double Tap,(2019),6.7,55,135139
1299,The Lighthouse,(I) (2019),7.5,83,135053
1300,Pokémon Detective Pikachu,(2019),6.6,53,134359
1301,Little Women,(2019),7.8,91,134290
1302,Rocketman,(I) (2019),7.3,69,131273
1303,Frozen 2,(2019),6.9,64,131186
1304,Godzilla: King of the Monsters,(2019),6.0,48,129485
1305,Joker,(2019),8.5,59,907751
1306,Avengers: Endgame,(2019),8.4,78,786661
1307,Once Upon a Time... In Hollywood,(2019),7.6,83,534669
1308,Parasite,(2019),8.6,96,519064
1309,Captain Marvel,(2019),6.9,64,432426
1310,Knives Out,(2019),7.9,82,425977
1311,1917,(2019),8.3,78,399659
1312,Star Wars: The Rise of Skywalker,(2019),6.6,53,361755
1313,The Irishman,(2019),7.9,94,316417
1314,Spider-Man: Far from Home,(2019),7.5,69,315803
1315,Jojo Rabbit,(2019),7.9,58,282441
1316,Le Mans '66,(2019),8.1,81,278048
1317,John Wick: Chapter 3 - Parabellum,(2019),7.4,73,268648
1318,Shazam!,(2019),7.1,71,248671
1319,Marriage Story,(2019),8.0,94,239055
1320,Alita: Battle Angel,(2019),7.3,53,224245
1321,Aladdin,(2019),7.0,53,222912
1322,Us,(II) (2019),6.9,81,220973
1323,The Gentlemen,(2019),7.8,51,213484
1324,Uncut Gems,(2019),7.4,91,212063
1325,The Lion King,(2019),6.9,55,206436
1326,Glass,(2019),6.7,43,204351
1327,It: Chapter Two,(2019),6.5,58,203246
1328,Toy Story 4,(2019),7.8,84,197038
1329,Ad Astra,(2019),6.5,80,193867
1330,Midsommar,(2019),7.1,72,192953
1331,Jumanji: The Next Level,(2019),6.7,58,181411
1332,El Camino: A Breaking Bad Movie,(2019),7.3,72,179222
1333,Fast & Furious: Hobbs & Shaw,(2019),6.4,60,163614
1334,The Platform,(2019),7.0,73,157151
1335,X-Men: Dark Phoenix,(2019),5.8,43,151992
1336,Terminator: Dark Fate,(2019),6.2,54,145526
1337,Doctor Sleep,(2019),7.3,59,137223
1338,6 Underground,(2019),6.1,41,135454
1339,Zombieland: Double Tap,(2019),6.7,55,135139
1340,The Lighthouse,(I) (2019),7.5,83,135053
1341,Pokémon Detective Pikachu,(2019),6.6,53,134359
1342,Little Women,(2019),7.8,91,134290
1343,Rocketman,(I) (2019),7.3,69,131273
1344,Frozen 2,(2019),6.9,64,131186
1345,Godzilla: King of the Monsters,(2019),6.0,48,129485
1346,Joker,(2019),8.5,59,907751
1347,Avengers: Endgame,(2019),8.4,78,786661
1348,Once Upon a Time... In Hollywood,(2019),7.6,83,534669
1349,Parasite,(2019),8.6,96,519064
1350,Captain Marvel,(2019),6.9,64,432426
1351,Knives Out,(2019),7.9,82,425977
1352,1917,(2019),8.3,78,399659
1353,Star Wars: The Rise of Skywalker,(2019),6.6,53,361755
1354,The Irishman,(2019),7.9,94,316417
1355,Spider-Man: Far from Home,(2019),7.5,69,315803
1356,Jojo Rabbit,(2019),7.9,58,282441
1357,Le Mans '66,(2019),8.1,81,278048
1358,John Wick: Chapter 3 - Parabellum,(2019),7.4,73,268648
1359,Shazam!,(2019),7.1,71,248671
1360,Marriage Story,(2019),8.0,94,239055
1361,Alita: Battle Angel,(2019),7.3,53,224245
1362,Aladdin,(2019),7.0,53,222912
1363,Us,(II) (2019),6.9,81,220973
1364,The Gentlemen,(2019),7.8,51,213484
1365,Uncut Gems,(2019),7.4,91,212063
1366,The Lion King,(2019),6.9,55,206436
1367,Glass,(2019),6.7,43,204351
1368,It: Chapter Two,(2019),6.5,58,203246
1369,Toy Story 4,(2019),7.8,84,197038
1370,Ad Astra,(2019),6.5,80,193867
1371,Midsommar,(2019),7.1,72,192953
1372,Jumanji: The Next Level,(2019),6.7,58,181411
1373,El Camino: A Breaking Bad Movie,(2019),7.3,72,179222
1374,Fast & Furious: Hobbs & Shaw,(2019),6.4,60,163614
1375,The Platform,(2019),7.0,73,157151
1376,X-Men: Dark Phoenix,(2019),5.8,43,151992
1377,Terminator: Dark Fate,(2019),6.2,54,145526
1378,Doctor Sleep,(2019),7.3,59,137223
1379,6 Underground,(2019),6.1,41,135454
1380,Zombieland: Double Tap,(2019),6.7,55,135139
1381,The Lighthouse,(I) (2019),7.5,83,135053
1382,Pokémon Detective Pikachu,(2019),6.6,53,134359
1383,Little Women,(2019),7.8,91,134290
1384,Rocketman,(I) (2019),7.3,69,131273
1385,Frozen 2,(2019),6.9,64,131186
1386,Godzilla: King of the Monsters,(2019),6.0,48,129485
1387,Joker,(2019),8.5,59,907751
1388,Avengers: Endgame,(2019),8.4,78,786661
1389,Once Upon a Time... In Hollywood,(2019),7.6,83,534669
1390,Parasite,(2019),8.6,96,519064
1391,Captain Marvel,(2019),6.9,64,432426
1392,Knives Out,(2019),7.9,82,425977
1393,1917,(2019),8.3,78,399659
1394,Star Wars: The Rise of Skywalker,(2019),6.6,53,361755
1395,The Irishman,(2019),7.9,94,316417
1396,Spider-Man: Far from Home,(2019),7.5,69,315803
1397,Jojo Rabbit,(2019),7.9,58,282441
1398,Le Mans '66,(2019),8.1,81,278048
1399,John Wick: Chapter 3 - Parabellum,(2019),7.4,73,268648
1400,Shazam!,(2019),7.1,71,248671
1401,Marriage Story,(2019),8.0,94,239055
1402,Alita: Battle Angel,(2019),7.3,53,224245
1403,Aladdin,(2019),7.0,53,222912
1404,Us,(II) (2019),6.9,81,220973
1405,The Gentlemen,(2019),7.8,51,213484
1406,Uncut Gems,(2019),7.4,91,212063
1407,The Lion King,(2019),6.9,55,206436
1408,Glass,(2019),6.7,43,204351
1409,It: Chapter Two,(2019),6.5,58,203246
1410,Toy Story 4,(2019),7.8,84,197038
1411,Ad Astra,(2019),6.5,80,193867
1412,Midsommar,(2019),7.1,72,192953
1413,Jumanji: The Next Level,(2019),6.7,58,181411
1414,El Camino: A Breaking Bad Movie,(2019),7.3,72,179222
1415,Fast & Furious: Hobbs & Shaw,(2019),6.4,60,163614
1416,The Platform,(2019),7.0,73,157151
1417,X-Men: Dark Phoenix,(2019),5.8,43,151992
1418,Terminator: Dark Fate,(2019),6.2,54,145526
1419,Doctor Sleep,(2019),7.3,59,137223
1420,6 Underground,(2019),6.1,41,135454
1421,Zombieland: Double Tap,(2019),6.7,55,135139
1422,The Lighthouse,(I) (2019),7.5,83,135053
1423,Pokémon Detective Pikachu,(2019),6.6,53,134359
1424,Little Women,(2019),7.8,91,134290
1425,Rocketman,(I) (2019),7.3,69,131273
1426,Frozen 2,(2019),6.9,64,131186
1427,Godzilla: King of the Monsters,(2019),6.0,48,129485
